procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4736824  50884 2383384    0    0     0     0  722  528  9  4 87  0  0
 1  0      0 4736572  50884 2383384    0    0     0     0  752  621  9  4 87  0  0
 1  0      0 4736332  50884 2383388    0    0     0     0  695  569  9  4 87  0  0
 1  0      0 4736332  50884 2383392    0    0     0     0  712  556  9  4 87  0  0
 1  0      0 4736332  50892 2383384    0    0     0    16  708  558  9  4 87  0  0
 1  0      0 4736332  50892 2383396    0    0     0     0  707  564  9  4 87  0  0
 1  0      0 4736332  50892 2383404    0    0     0     0  633  431  8  5 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4736332  50892 2383404    0    0     0     0  730  564  9  5 87  0  0
 2  0      0 4736332  50892 2383408    0    0     0     0  703  542  9  4 87  0  0
 1  0      0 4736092  50900 2383412    0    0     0    16  723  592  9  4 87  0  0
 1  0      0 4736092  50900 2383412    0    0     0     0  719  553  9  4 87  0  0
 2  0      0 4736100  50900 2383420    0    0     0     0  773  646  9  4 87  0  0
 1  0      0 4736100  50900 2383420    0    0     0     0  648  502  9  4 87  0  0
 1  0      0 4736352  50900 2383428    0    0     0     0  616  423  9  4 87  0  0
 1  0      0 4736604  50908 2383428    0    0     0    16  712  568  8  4 87  0  0
 1  0      0 4736580  50908 2383428    0    0     0     0  748  587  8  4 87  0  0
 1  0      0 4735848  50908 2383432    0    0     0     0  713  559  9  4 87  0  0
 1  0      0 4736520  50908 2383432    0    0     0     0  733  581  8  5 87  0  0
 1  0      0 4736868  50908 2383436    0    0     0     0  698  580  9  4 87  0  0
 1  0      0 4736616  50916 2383428    0    0     0    16  621  525  9  4 87  0  0
 1  0      0 4738380  50916 2383444    0    0     0     0  628  432  9  4 87  0  0
 1  0      0 4738392  50916 2383444    0    0     0     0  687  560  9  3 87  0  0
 1  0      0 4738620  50916 2383444    0    0     0     0  749  635  8  5 87  0  0
 1  0      0 4738652  50916 2383452    0    0     0     0  740  571  9  5 87  0  0
 1  0      0 4738148  50924 2383452    0    0     0    32  795  727  9  3 87  0  0
 2  0      0 4736164  50924 2383460    0    0     0    40  882  743  9  4 87  0  0
 1  0      0 4736164  50924 2383460    0    0     0     0  823  807  8  5 87  0  0
 1  0      0 4736164  50924 2383468    0    0     0     0  767  676  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4737928  50924 2383468    0    0     0     0  804  706  9  4 87  0  0
 1  0      0 4737928  50932 2383464    0    0     0   144  840  770  9  4 87  0  0
 1  0      0 4737928  50932 2383476    0    0     0     0  708  621  9  4 87  0  0
 1  0      0 4737928  50932 2383476    0    0     0     0  685  592  8  4 87  0  0
 1  0      0 4737948  50932 2383480    0    0     0     0  694  562  9  4 87  0  0
 1  0      0 4737696  50932 2383480    0    0     0     0  779  685  8  4 87  0  0
 1  0      0 4737696  50940 2383488    0    0     0    44  805  756  8  5 87  0  0
 1  0      0 4737696  50940 2383488    0    0     0     0  805  716  9  4 87  0  0
 1  0      0 4738472  50940 2383496    0    0     0     0  719  550  8  5 87  0  0
 1  0      0 4740068  50940 2383496    0    0     0     0  730  569  9  4 87  0  0
 1  0      0 4740236  50940 2383500    0    0     0     0  902  910  8  4 87  0  0
 1  0      0 4739744  50948 2383508    0    0     0    32  717  670  9  4 87  0  0
 1  0      0 4739996  50948 2383508    0    0     0    32  604  414  8  5 87  0  0
 1  0      0 4739468  50948 2383508    0    0     0     0  716  580  9  4 87  0  0
 1  0      0 4738744  50948 2383516    0    0     0     0  811  726  8  5 87  0  0
 1  0      0 4739248  50948 2383516    0    0     0     0  709  571  9  4 87  0  0
 1  0      0 4737988  50956 2383528    0    0     0    32  774  609  8  4 87  0  0
 1  0      0 4737064  50956 2383528    0    0     0    32  736  587  9  3 87  0  0
 5  0      0 4736740  50956 2383528    0    0     0     0  600  374  9  4 87  0  0
 1  0      0 4736740  50956 2383536    0    0     0     0  709  575  8  4 87  0  0
 1  0      0 4735984  50956 2383536    0    0     0     0  767  670  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4735480  50964 2383540    0    0     0    52  834  849  8  4 87  0  0
 2  0      0 4736256  50964 2383544    0    0     0     0  786  706  8  4 87  0  0
 1  0      0 4736256  50964 2383548    0    0     0    28  705  587  9  3 87  0  0
 1  0      0 4735512  50964 2383548    0    0     0     0  780  685  9  4 87  0  0
 1  0      0 4736016  50964 2383556    0    0     0     0  756  667  9  4 87  0  0
 1  0      0 4736016  50972 2383556    0    0     0    32  753  713  9  4 87  0  0
 1  0      0 4736276  50972 2383560    0    0     0     0  716  599  9  4 87  0  0
 1  0      0 4736024  50972 2383564    0    0     0    32  691  552  9  3 87  0  0
 1  0      0 4736284  50972 2383564    0    0     0     0  627  531  9  4 87  0  0
 1  0      0 4736284  50972 2383568    0    0     0     0  608  431  9  4 87  0  0
 1  0      0 4736284  50980 2383572    0    0     0    32  698  603  9  4 87  0  0
 1  0      0 4736800  50980 2383572    0    0     0    36  731  534  8  5 87  0  0
 1  0      0 4737484  50980 2383576    0    0     0     0  709  571 10  3 87  0  0
 1  0      0 4739320  50980 2383584    0    0     0    28  734  584  9  4 87  0  0
 1  0      0 4739068  50980 2383584    0    0     0     0  761  643  9  4 87  0  0
 1  0      0 4740084  50988 2383588    0    0     0    32  720  580  8  5 87  0  0
 1  0      0 4739328  50988 2383592    0    0     0     0  780  586  9  4 87  0  0
 1  0      0 4738548  50988 2383592    0    0     0     0  700  617  9  4 87  0  0
 1  0      0 4738320  50988 2383596    0    0     0    28  663  511  8  5 87  0  0
 2  0      0 4738332  50988 2383604    0    0     0     0  667  533  9  4 88  0  0
 1  0      0 4739600  50996 2383604    0    0     0    32  862  761  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4738844  50996 2383608    0    0     0     0  798  704  8  4 87  0  0
 1  0      0 4739348  50996 2383612    0    0     0     0  740  573  9  4 87  0  0
 2  0      0 4740104  50996 2383612    0    0     0    16  701  528  8  5 87  0  0
 1  0      0 4740104  50996 2383620    0    0     0    12  722  587  8  5 87  0  0
 1  0      0 4741060  51008 2383676    0    0    56    48  928 1002  9  4 87  0  0
 3  0      0 4740880  51008 2383684    0    0     0     0  689  562  9  4 87  0  0
 2  0      0 4742404  51008 2383684    0    0     0     0  651  498  9  4 87  0  0
 1  0      0 4741600  51008 2383684    0    0     0     0  800  727  8  4 88  0  0
 1  0      0 4741152  51008 2383692    0    0     0    32  722  603  9  4 87  0  0
 1  0      0 4740900  51016 2383692    0    0     0   308  752  634  9  4 87  0  0
 1  0      0 4740396  51016 2383696    0    0     0     0  746  574  9  4 87  0  0
 1  0      0 4740144  51016 2383696    0    0     0     0  717  582  9  4 87  0  0
 1  0      0 4740144  51016 2383704    0    0     0     0  695  578  9  4 87  0  0
 1  0      0 4740144  51016 2383704    0    0     0    28  688  525  9  4 87  0  0
 2  0      0 4740144  51024 2383700    0    0     0    40  689  536  9  4 87  0  0
 1  0      0 4739640  51024 2383700    0    0     0     0  848  756  9  4 87  0  0
 1  0      0 4739640  51024 2383712    0    0     0     0  817  732  8  5 87  0  0
 1  0      0 4739640  51024 2383720    0    0     0     0  715  593  9  4 87  0  0
 1  0      0 4739640  51024 2383720    0    0     0     0  786  671  9  4 87  0  0
 1  0      0 4739640  51032 2383728    0    0     0    76  864  811  9  4 87  0  0
 1  0      0 4739400  51032 2383728    0    0     0     0  751  657  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4739400  51032 2383728    0    0     0     0  773  725  9  4 87  0  0
 1  0      0 4739148  51032 2383740    0    0     0     0  628  485  9  4 87  0  0
 1  0      0 4739904  51032 2383744    0    0     0     0  620  442  9  4 87  0  0
 1  0      0 4739904  51040 2383736    0    0     0    48  760  582  9  3 87  0  0
 2  0      0 4738392  51040 2383744    0    0     0    44  750  636  9  4 87  0  0
 1  0      0 4739400  51040 2383752    0    0     0     0  730  554  9  4 87  0  0
 1  0      0 4738896  51040 2383756    0    0     0     0  716  569  8  5 87  0  0
 1  0      0 4738116  51040 2383760    0    0     0     0  788  702  9  4 87  0  0
 1  0      0 4737132  51048 2383760    0    0     0    32  624  498  8  4 87  0  0
 1  0      0 4737132  51048 2383764    0    0     0    28  623  413  9  3 87  0  0
 1  0      0 4735620  51048 2383764    0    0     0     0  770  603  8  4 87  0  0
 1  0      0 4735872  51048 2383772    0    0     0     0  695  547  9  4 87  0  0
 1  0      0 4737636  51048 2383772    0    0     0     0  747  568  8  5 87  0  0
 1  0      0 4737348  51056 2383772    0    0     0    32  846  714  9  5 87  0  0
 1  0      0 4738152  51056 2383780    0    0     0    32  719  589  9  4 87  0  0
 1  0      0 4739160  51056 2383784    0    0     0     0  745  632  8  5 87  0  0
 1  0      0 4738152  51056 2383788    0    0     0     0  689  571  9  4 87  0  0
 1  0      0 4738152  51056 2383788    0    0     0     0  662  563  9  4 87  0  0
 1  0      0 4738404  51064 2383796    0    0     0    32  688  604  8  4 87  0  0
 1  0      0 4738180  51064 2383796    0    0     0     0  715  550  8  5 87  0  0
 1  0      0 4737652  51064 2383800    0    0     0    28  764  576  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4738408  51064 2383804    0    0     0     0  694  553  9  4 87  0  0
 1  0      0 4737172  51064 2383808    0    0     0     0  731  603  8  5 87  0  0
 1  0      0 4737424  51072 2383808    0    0     0    32  689  536  9  4 87  0  0
 1  0      0 4737424  51072 2383812    0    0     0     0  668  532  9  4 87  0  0
 1  0      0 4738180  51072 2383816    0    0     0    32  600  397  8  4 87  0  0
 1  0      0 4738432  51072 2383816    0    0     0     0  754  624  8  5 87  0  0
 1  0      0 4737940  51072 2383824    0    0     0     0  686  543  9  4 87  0  0
 1  0      0 4737448  51080 2383824    0    0     0    32  740  586  9  4 87  0  0
 1  0      0 4737448  51080 2383828    0    0     0     0  692  534  9  4 87  0  0
 1  0      0 4737928  51080 2383832    0    0     0     0  689  562  9  4 87  0  0
 1  0      0 4737708  51080 2383836    0    0     0    28  614  453  9  4 87  0  0
 1  0      0 4739232  51080 2383836    0    0     0     0  638  435  9  4 87  0  0
 2  0      0 4738728  51088 2383840    0    0     0    32  768  590  9  4 87  0  0
 2  0      0 4737972  51088 2383844    0    0     0     0  804  698  9  4 87  0  0
 1  0      0 4738224  51088 2383852    0    0     0     0  785  638  8  5 87  0  0
 2  0      0 4738484  51088 2383852    0    0     0     0  779  713  9  4 87  0  0
 1  0      0 4738484  51088 2383852    0    0     0    32  822  756  9  4 87  0  0
 1  0      0 4738484  51096 2383860    0    0     0    32  732  675  9  4 87  0  0
 1  0      0 4738736  51096 2383860    0    0     0    16  659  399  8  5 87  0  0
 1  0      0 4738496  51096 2383864    0    0     0     0  753  584  9  4 87  0  0
 1  0      0 4737992  51096 2383868    0    0     0     0  743  553  9  4 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
